incident_id,date_int,latitude,longitude,snapshot_quarter,severity_economic_usd,severity_casualties
1,19950105,-7.1766667,112.6867,199501,0.0,2
2,19950107,37.4386667,122.185,199501,0.0,1
3,19950108,3.7766667,98.6767,199501,0.0,3
4,19950110,43.11666667,131.8833,199501,0.0,3
5,19950118,3.98,98.7983,199501,0.0,3
6,19950121,18.425,120.0867,199501,0.0,2
7,19950123,5.8133333,118.105,199501,0.0,3
8,19950123,16.6,120.8167,199501,0.0,0
9,19950126,-6.775,39.3533,199501,0.0,2
10,19950128,26.8085,52.0142,199501,0.0,0
11,19950131,-6.0886667,106.875,199501,0.0,3
12,19950203,3.7766667,98.6767,199501,0.0,3
13,19950204,-1.2766667,116.7967,199501,0.0,0
14,19950211,-22.8933333,-43.1667,199501,0.0,2
15,19950215,7.3,108.5833,199501,0.0,1
16,19950219,8.29,-80.3448,199501,0.0,0
17,19950221,-6.0083333,105.9467,199501,0.0,0
18,19950223,23.2,117.4167,199501,0.0,1
19,19950226,9.35,-79.9167,199501,0.0,0
20,19950228,11.5833333,43.6167,199501,0.0,0
21,19950228,26.8085,52.0142,199501,0.0,0
22,19950228,26.8085,52.0142,199501,0.0,2
23,19950304,19.675,119.03,199501,0.0,3
24,19950307,-22.8933333,-43.1667,199501,0.0,0
25,19950307,22.2666667,114.2,199501,0.0,0
26,19950307,-6.0666667,106.15,199501,0.0,3
27,19950307,-22.9,-43.2,199501,0.0,2
28,19950308,21.7166667,117.85,199501,0.0,0
29,19950315,37.195,3.4539,199501,0.0,1
30,19950315,41.0166667,29.9667,199501,0.0,2
31,19950315,21.8865,113.8571,199501,0.0,3
32,19950323,-1.0,117.2833,199501,0.0,3
33,19950325,-7.1833333,112.7,199501,0.0,1
34,19950401,-7.1456667,112.0667,199502,0.0,1
35,19950402,-2.7,107.35,199502,0.0,3
36,19950403,12.145,50.81,199502,0.0,1
37,19950405,16.2183333,113.445,199502,0.0,2
38,19950405,4.9115,48.4136,199502,0.0,1
39,19950409,26.8085,52.0142,199502,0.0,3
40,19950409,18.7616667,120.82,199502,0.0,0
41,19950411,19.715,121.625,199502,0.0,0
42,19950411,19.7166667,121.625,199502,0.0,1
43,19950412,-1.0416667,117.25,199502,0.0,0
44,19950418,11.0466667,114.2617,199502,0.0,1
45,19950418,-2.9765,104.75,199502,0.0,2
46,19950418,7.9166667,106.6,199502,0.0,2
47,19950422,12.15,50.8,199502,0.0,2
48,19950426,-6.0886667,106.875,199502,0.0,2
49,19950428,12.1333333,50.7167,199502,0.0,1
50,19950428,-23.9761667,-46.2872,199502,0.0,2
51,19950429,5.8833333,124.6,199502,0.0,1
52,19950501,12.95,53.3833,199502,0.0,3
53,19950501,12.95,53.3833,199502,0.0,1
54,19950501,-6.0433333,105.9167,199502,0.0,0
55,19950503,12.2,51.0333,199502,0.0,1
56,19950503,4.7999,50.0678,199502,0.0,3
57,19950503,12.1,50.85,199502,0.0,3
58,19950505,5.8266667,118.1167,199502,0.0,0
59,19950505,5.8,124.3167,199502,0.0,0
60,19950509,13.3516667,100.6067,199502,0.0,3
61,19950510,-22.8933333,-43.1667,199502,0.0,2
62,19950511,56.5878,11.3063,199502,0.0,1
63,19950512,12.0072,43.435,199502,0.0,2
64,19950512,22.1333333,113.5333,199502,0.0,1
65,19950514,23.108,113.2753,199502,0.0,3
66,19950515,-7.1885,112.7467,199502,0.0,3
67,19950516,-22.8933333,-43.1667,199502,0.0,0
68,19950518,1.323,104.1099,199502,0.0,3
69,19950521,22.1166667,113.8,199502,0.0,3
70,19950531,12.015,50.0833,199502,0.0,0
71,19950531,12.015,50.0833,199502,0.0,2
72,19950601,23.9273,119.5011,199502,0.0,1
73,19950602,10.344,107.0568,199502,0.0,2
74,19950603,16.2216667,113.4317,199502,0.0,1
75,19950604,19.35,121.9667,199502,0.0,2
76,19950607,23.0,70.3167,199502,0.0,1
77,19950609,22.15,114.1333,199502,0.0,2
78,19950610,22.7,114.5333,199502,0.0,2
79,19950612,22.1833333,113.8333,199502,0.0,3
80,19950614,10.344,107.0568,199502,0.0,2
81,19950616,-2.9765,104.75,199502,0.0,3
82,19950623,10.2285,102.5594,199502,0.0,2
83,19950623,21.1765,110.4,199502,0.0,1
84,19950624,-6.0886667,106.875,199502,0.0,3
85,19950630,-2.8033333,104.9167,199502,0.0,3
86,19950704,21.4616667,108.3817,199503,0.0,0
87,19950704,2.1666667,101.7333,199503,0.0,3
88,19950707,22.8783,70.3221,199503,0.0,2
89,19950707,22.8196667,70.2203,199503,0.0,2
90,19950714,20.1166667,114.14,199503,0.0,1
91,19950718,22.1166667,114.1667,199503,0.0,2
92,19950719,22.0733333,113.8933,199503,0.0,2
93,19950720,-5.0166667,115.8583,199503,0.0,1
94,19950723,-2.3,104.9167,199503,0.0,2
95,19950723,22.1166667,113.8,199503,0.0,0
96,19950723,-12.0167,-77.1667,199503,0.0,3
97,19950724,22.1266667,114.24,199503,0.0,1
98,19950730,-22.8933333,-43.1667,199503,0.0,0
99,19950731,22.15,114.1333,199503,0.0,0
100,19950731,22.15,114.1333,199503,0.0,1
101,19950801,22.075,113.8933,199503,0.0,1
