incident_id,date_int,latitude,longitude,snapshot_quarter,in_corridor,severity_economic_usd
1,19930306,3.8,98.7167,199301,1,0.0
2,19930422,3.7766667,98.6767,199302,1,0.0
3,19930524,3.5,100.1667,199302,1,0.0
4,19930603,1.6766667,101.45,199302,1,0.0
5,19930609,2.25,101.9,199302,1,0.0
6,19930707,4.1833333,99.4333,199303,1,0.0
7,19930902,3.7766667,98.6767,199303,1,0.0
8,19930927,3.7766667,98.6767,199303,1,0.0
9,19931209,3.7766667,98.6767,199304,1,0.0
10,19940109,1.1833333,103.4,199401,1,0.0
11,19940109,1.3,103.4833,199401,1,0.0
12,19940109,1.1666667,103.45,199401,1,0.0
13,19940122,29.8166667,32.55,199401,1,0.0
14,19940125,1.25,103.3167,199401,1,0.0
15,19940210,11.6666667,43.1667,199401,1,0.0
16,19940508,3.7836667,98.7007,199402,1,0.0
17,19940517,3.7836667,98.7007,199402,1,0.0
18,19940524,3.7836667,98.7007,199402,1,0.0
19,19940530,3.7836667,98.7007,199402,1,0.0
20,19950108,3.7766667,98.6767,199501,1,0.0
21,19950118,3.98,98.7983,199501,1,0.0
22,19950203,3.7766667,98.6767,199501,1,0.0
23,19950228,11.5833333,43.6167,199501,1,0.0
24,19950403,12.145,50.81,199502,1,0.0
25,19950422,12.15,50.8,199502,1,0.0
26,19950428,12.1333333,50.7167,199502,1,0.0
27,19950503,12.2,51.0333,199502,1,0.0
28,19950503,12.1,50.85,199502,1,0.0
29,19950512,12.0072,43.435,199502,1,0.0
30,19950531,12.015,50.0833,199502,1,0.0
31,19950531,12.015,50.0833,199502,1,0.0
32,19950704,2.1666667,101.7333,199503,1,0.0
33,19950808,3.7998,100.2997,199503,1,0.0
34,19951031,4.65,98.7,199504,1,0.0
35,19960305,1.85,102.4633,199601,1,0.0
36,19960328,3.7836667,98.7007,199601,1,0.0
37,19960411,3.7836667,98.7007,199602,1,0.0
38,19960425,13.6773,42.9565,199602,1,0.0
39,19960627,2.3,101.8333,199602,1,0.0
40,19960828,3.7836667,98.7007,199603,1,0.0
41,19960916,3.7836667,98.7007,199603,1,0.0
42,19960925,3.7836667,98.7007,199603,1,0.0
43,19960928,3.7836667,98.7007,199603,1,0.0
44,19961003,3.7836667,98.7007,199604,1,0.0
45,19961020,3.7836667,98.7007,199604,1,0.0
46,19961031,3.7836667,98.7007,199604,1,0.0
47,19970101,11.95,50.75,199701,1,0.0
48,19970207,6.35,99.6682,199701,1,0.0
49,19970305,12.5182,47.6446,199701,1,0.0
